Date,Channel,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
3/10/2023,Organic Search,11086,6946,0.626556017,62.80588129,6.088399784,67496,73,0.006584882,12495.61
1/5/2023,Organic Search,11082,6727,0.607020393,67.27061902,6.29209529,69729,84,0.007218914,13478.59
6/22/2024,Direct,11078,6287,0.567521213,24.33426611,7.481133779,82876,64,0.005777216,8833.33
4/2/2024,Direct,11067,2543,0.229782235,38.04382398,7.376886238,81640,123,0.005602241,23120.15
3/20/2024,Direct,11061,2540,0.229635657,36.97115993,7.322936443,80999,142,0.006418949,24855.64
7/8/2024,Direct,11035,6533,0.592025374,26.0367014,7.745446307,85471,53,0.004712279,10353.52
4/4/2024,Direct,10982,2741,0.249590239,40.23146968,7.629575669,83788,152,0.006920415,22850.98
8/2/2024,Direct,10979,6858,0.624647053,34.83486656,8.368886055,91882,88,0.007742053,13928.68
1/18/2023,Organic Search,10943,6877,0.628438271,68.94955679,6.449602486,70578,69,0.006305401,9502.99
2/1/2023,Organic Search,10932,7029,0.642974753,69.81522137,6.493047933,70982,65,0.005945847,11617.31
7/21/2024,Direct,10929,6348,0.580839967,30.06944826,8.20285479,89649,63,0.00576448,9441.91
3/21/2024,Direct,10916,2361,0.216288018,33.0645841,7.047636497,76932,135,0.006229388,20509.42
11/29/2024,Organic Search,10900,5617,0.515321101,67.28788991,10.80899083,117818,101,0.009174312,14625.19
2/13/2023,Organic Search,10884,7147,0.656651966,68.94790518,6.310547593,68684,73,0.006615215,12314.66
1/9/2023,Organic Search,10865,6957,0.640312931,66.06580764,6.234790612,67741,50,0.004601933,7178.39
11/29/2022,Organic Search,10851,6805,0.62713114,66.7896968,6.148189107,66714,69,0.006358861,10342.97
3/5/2023,Organic Search,10831,6834,0.63096667,64.08475672,6.332471609,68587,70,0.00646293,11606.34
6/15/2024,Direct,10824,6852,0.633037694,33.16906874,8.50341833,92041,50,0.004619364,7998.87
10/19/2022,Organic Search,10795,6868,0.636220472,68.65641501,6.142566003,66309,78,0.007225567,12100.06
3/22/2024,Direct,10788,2250,0.208565072,34.84946237,7.170837968,77359,144,0.006674082,21487.48
10/20/2022,Organic Search,10760,6837,0.635408922,74.07369888,6.351115242,68338,78,0.007063197,11893.12
9/22/2022,Organic Search,10752,6690,0.622209821,68.2436756,6.167596726,66314,71,0.006510417,10959.65
2/3/2023,Organic Search,10751,6755,0.628313645,67.99404707,6.380708771,68599,75,0.006976095,13536.69
10/11/2022,Organic Search,10749,6826,0.635035817,68.60907991,6.375848916,68534,79,0.007349521,12543.31
1/24/2023,Organic Search,10739,6737,0.627339603,108.5943756,6.234006891,66947,64,0.005959587,9846.53
1/26/2023,Organic Search,10731,6910,0.643928804,71.48793216,6.532476004,70100,52,0.004845774,8020.92
4/1/2024,Direct,10726,2279,0.212474361,32.58651874,7.002237554,75106,140,0.006619429,25855.29
2/14/2023,Organic Search,10708,6823,0.63718715,67.53343295,6.478800897,69375,65,0.006070228,10203.16
11/7/2022,Organic Search,10705,6623,0.618682858,68.8555815,6.343484353,67907,88,0.008127043,13221.53
3/18/2024,Direct,10688,2583,0.241672904,36.42805015,7.240643713,77388,105,0.005800898,15388.93
4/8/2024,Direct,10665,2431,0.227941866,36.98668542,7.123769339,75975,133,0.006282232,18989.97
3/17/2023,Organic Search,10664,6681,0.626500375,73.31620405,6.216429107,66292,68,0.006376594,10139.62
1/10/2023,Organic Search,10661,6693,0.62780227,63.42932183,6.026170153,64245,53,0.004971391,9031.09
1/11/2023,Organic Search,10647,6635,0.623180239,66.81290504,6.136188598,65332,58,0.005447544,7946.5
4/30/2024,Direct,10644,2310,0.217023675,33.37326193,7.029594138,74823,65,0.006106727,9702.28
11/3/2022,Organic Search,10644,6728,0.632093198,67.86696731,6.216835776,66172,79,0.007422022,10258.29
3/27/2023,Organic Search,10633,6864,0.645537478,65.60048904,6.531176526,69446,62,0.005830904,12116.96
11/30/2022,Organic Search,10611,6805,0.641315616,68.50372255,6.343605692,67312,97,0.009047215,15718.09
1/23/2025,Organic Search,10574,5348,0.505768867,65.52184604,10.24342727,108314,83,0.007660299,13340.8
10/13/2022,Organic Search,10549,6645,0.629917528,70.03592758,6.249502322,65926,75,0.007109679,10906.28
4/15/2024,Direct,10541,2475,0.234797458,35.57594156,7.237643487,76292,126,0.005976663,20673.79
11/2/2022,Organic Search,10527,6654,0.632088914,63.96798708,6.223425477,65514,65,0.006174599,9358.62
11/26/2022,Organic Search,10514,6760,0.642952254,77.01036713,7.018451588,73792,128,0.012174244,20147.44
9/21/2022,Organic Search,10503,6672,0.635247072,70.89545844,6.333238122,66518,91,0.00856898,10483.05
1/20/2023,Organic Search,10499,6518,0.620821031,70.99428517,6.35898657,66763,61,0.005810077,10179.87
10/25/2022,Organic Search,10496,6492,0.618521341,72.7581936,6.247046494,65569,82,0.0078125,12209.9
10/17/2022,Organic Search,10493,6585,0.627561231,69.95682836,6.345468408,66583,67,0.006289908,9789.14
3/23/2024,Direct,10489,2241,0.213652398,37.37505959,7.508628087,78758,131,0.006387644,19563.72
4/14/2024,Direct,10486,2356,0.224680526,36.98598131,6.900915506,72363,103,0.004863628,14305.34
1/25/2023,Organic Search,10481,6752,0.644213338,73.72769774,6.592596126,69097,66,0.006297109,11623
10/4/2022,Organic Search,10470,6480,0.618911175,65.71251194,6.074021012,63595,75,0.007067813,13086.11
2/21/2024,Direct,10464,4765,0.455370795,77.55409021,11.27016437,117931,146,0.013570336,21933.54
1/23/2023,Organic Search,10463,6708,0.641116315,78.88406767,6.486858454,67872,46,0.004396445,7828.05
11/25/2022,Direct,10380,4916,0.473603083,65.99576108,7.002504817,72686,265,0.025144509,43251.62
11/9/2022,Organic Search,10378,6516,0.627866641,68.84168433,6.218346502,64534,64,0.006166892,8413.31
4/9/2024,Direct,10368,2349,0.2265625,36.34577546,7.19685571,74617,131,0.006365741,20708.98
4/10/2024,Direct,10367,2464,0.237677245,39.40571043,7.477187229,77516,148,0.007041574,21893.41
10/27/2022,Organic Search,10367,6570,0.63374168,68.582425,6.206038391,64338,76,0.007330954,11325.92
4/2/2023,Organic Search,10365,6459,0.623154848,64.26097443,6.331307284,65624,71,0.006849976,12798.64
4/1/2023,Organic Search,10359,6586,0.635775654,67.61337967,6.546867458,67819,85,0.007915822,14938.6
11/14/2022,Organic Search,10355,6485,0.626267504,68.85456301,6.268083052,64906,61,0.005794302,8456.72
11/25/2024,Organic Search,10340,4916,0.475435203,63.22176015,10.727853,110926,65,0.006189555,10541.37
4/5/2024,Direct,10332,2289,0.221544715,37.32075106,7.33168796,75751,164,0.008130081,25208.52
11/8/2022,Organic Search,10332,6444,0.62369338,69.01432443,6.232868757,64398,61,0.005903988,9380.32
12/11/2022,Organic Search,10325,5834,0.56503632,60.80987893,6.443292978,66527,70,0.006682809,8995.14
2/25/2023,Organic Search,10320,6453,0.625290698,70.7625969,6.625968992,68380,77,0.00746124,10591.11
6/10/2024,Direct,10315,6621,0.641880756,43.87086767,9.89452254,102062,86,0.008337373,14691.91
3/13/2024,Direct,10302,2637,0.255969715,42.41399728,7.849543778,80866,80,0.007668414,14124.33
11/16/2022,Organic Search,10277,6443,0.62693393,68.65048166,6.331225066,65066,76,0.007395154,12862.59
11/10/2022,Organic Search,10270,6373,0.620545278,70.59289192,6.361635833,65334,70,0.006815969,9792.78
6/9/2024,Direct,10256,6448,0.628705148,35.28373635,8.861349454,90882,71,0.006825273,11075.56
6/13/2024,Direct,10254,6676,0.651063,44.2787205,9.987907158,102416,99,0.009459723,28857.8
6/30/2023,Direct,10251,3788,0.369524924,59.0801873,6.880401912,70531,111,0.01073066,17897.02
2/19/2023,Organic Search,10237,6457,0.630751197,70.13265605,6.540490378,66955,82,0.008010159,15808.74
5/6/2024,Direct,10233,2314,0.226131144,34.75833089,7.113163295,72789,70,0.006840614,12107.18
2/26/2023,Organic Search,10231,6575,0.642654677,72.2747532,6.90616753,70657,56,0.005473561,7340.64
1/3/2023,Organic Search,10222,6362,0.622383095,69.50361964,6.48082567,66247,66,0.006358834,10797.65
1/27/2023,Organic Search,10207,6455,0.632409131,71.88958558,6.530126384,66653,70,0.006858039,10971.35
3/15/2024,Direct,10205,2609,0.255658991,39.14826066,7.589906908,77455,84,0.008231259,15186.7
1/31/2025,Organic Search,10195,5263,0.516233448,65.83266307,10.4448259,106485,64,0.006277587,11207.18
